idregion,iddistrict,idchiefdom,idsection,sch_type,idschool_name
EASTERN,KONO,SANDOR,KAWAFE,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
EASTERN,KONO,SANDOR,NJEIKOR,B. Primary,UNITED METHODIST CHURCH PRIMARY SCHOOL
EASTERN,KONO,SANDOR,NJEIKOR,B. Primary,GBAMUDA COMMUNITY PRIMARY SCHOOL  
EASTERN,KONO,SANDOR,NJEIKOR,B. Primary,UNITED METHODIST CHURCH PRIMARY SCHOOL
EASTERN,KONO,SANDOR,NJEIKOR,B. Primary,GOD IS OUR LIGHT PRIMARY  
EASTERN,KONO,SANDOR,NJEIKOR,B. Primary,KOYA COMMUNITY PRIMARY SCHOOL  
EASTERN,KONO,SANDOR,NJEIKOR,B. Primary,KWIKUMA COMMUNITY PRIMARY SCHOOL  
EASTERN,KONO,SANDOR,NJEIKOR,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
EASTERN,KONO,SANDOR,NJEIKOR,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
EASTERN,KONO,SANDOR,NJEIKOR,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
EASTERN,KONO,SANDOR,NJEIKOR SECTION,B. Primary,NYANDEBO MEMORIAL PRIMARY SCHOOL
EASTERN,KONO,SANDOR,SANGBAFEH,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
EASTERN,KONO,SANDOR,SANGBAFEH,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
EASTERN,KONO,SANDOR,SANGBAFEH,C. Junior Secondary,ANSARUL ISLAMIC JUNIOR SECONDARY SCHOOL
EASTERN,KONO,SANDOR,SANGBAFEH,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
EASTERN,KONO,SANDOR,SANGBAFEH,B. Primary,FREE GOSPEL PRIMARY  
EASTERN,KONO,SANDOR,SINKOGOEFEH,B. Primary,ALADURA PRIMARY SCHOOL  
EASTERN,KONO,SANDOR,SINKOGOEFEH,B. Primary,DUNAMOR ISLAMIC PRIMARY SCHOOL  
EASTERN,KONO,SANDOR,SINKOGOEFEH,B. Primary,"LUTHERAN COMMUNITY SCHOOL, FINTIBAYA  "
EASTERN,KONO,SANDOR,SUMUGIEFEH,B. Primary,ALADURA PRIMARY SCHOOL  
EASTERN,KONO,SANDOR,SUMUGIEFEH,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
EASTERN,KONO,SANDOR,SUMUGIEFEH,B. Primary,SIERRA LEONE MUSLIM BROTHERHOOD PRIMARY SCHOOL
EASTERN,KONO,SANDOR,SUMUGIEFEH,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
EASTERN,KONO,SANDOR,SUMUGIEFEH,B. Primary,KASECHENDEDU COMMUNITY PRIMARY SCHOOL  
EASTERN,KONO,SANDOR,SUMUGIEFEH,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
EASTERN,KONO,SANDOR,SUMUGIEFEH,B. Primary,LUTHERAN PRIMARY SCHOOL  
EASTERN,KONO,SANDOR,SUMUGIEFEH,C. Junior Secondary,GOD'S MISSION JUNIOR SECONDARY SCHOOL  
EASTERN,KONO,SANDOR,SUMUGIEFEH,B. Primary,SAINT PHILIP'S LUTHERAN COMMUNITY PRIMARY SCHOOL  
EASTERN,KONO,SANDOR,SUMUGIEFEH,B. Primary,UNITED METHODIST CHURCH PRIMARY SCHOOL
EASTERN,KONO,SANDOR,YAWANTANDA,A. Pre- Primary,DISTRICT EDUCATION COMMITTEE PRE-PRIMARY SCHOOL
EASTERN,KONO,SANDOR,YAWATANDA,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
EASTERN,KONO,SANDOR,YAWATANDA,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
EASTERN,KONO,SANDOR,YAWATANDA,B. Primary,BENGOYAMA COMMUNITY PRIMARY SCHOOL  
EASTERN,KONO,SANDOR,YAWATANDA,B. Primary,FREE GOSPEL PRIMARY  
EASTERN,KONO,SANDOR,YAWATANDA,B. Primary,SUPREME ISLAMIC COUNCIL  
EASTERN,KONO,SANDOR,YAWATANDA,B. Primary,FREE GOSPEL PRIMARY  
EASTERN,KONO,SANDOR,YAWATANDA,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
EASTERN,KONO,SANDOR,YAWATANDA,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
EASTERN,KONO,SANDOR,YAWATANDA,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
EASTERN,KONO,SANDOR,YAWATANDA,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
EASTERN,KONO,SANDOR,YAWATANDA,C. Junior Secondary,FASULUKU MEMORIAL JUNIOR SEC.SCHOOL  
EASTERN,KONO,SANDOR,YAWATANDA,C. Junior Secondary,FASULUKU MEMORIAL JUNIOR SEC.SCHOOL  
EASTERN,KONO,SANDOR,YAWATANDA,A. Pre- Primary,JOHNNY MEMORIAL PRE SCHOOL  
EASTERN,KONO,SANDOR,YAWATANDA,B. Primary,TABERNACLE PRIMARY SCHOOL  
EASTERN,KONO,SANDOR,YAWATANDA,B. Primary,SARA ISLAMIC PRIMARY  
EASTERN,KONO,SANDOR,YAWATANDA,B. Primary,UNITED METHODIST CHURCH PRIMARY SCHOOL
EASTERN,KONO,SANDOR,YAWATANDA,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
EASTERN,KONO,SANDOR,YAWATANDA,B. Primary,UNITED METHODIST CHURCH PRIMARY SCHOOL
EASTERN,KONO,SANDOR,YAWATANDA,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
EASTERN,KONO,SANDOR,YAWATANDA,B. Primary,COMMUNITY PRIMARY SCHOOL
EASTERN,KONO,SANDOR,YAWATANDA,B. Primary,UNITED METHODIST CHURCH PRIMARY SCHOOL
EASTERN,KONO,SOA,KOOAGUAKUMA,B. Primary,ENVENRECAL MODEL  SCHOOL  
EASTERN,KONO,SOA,KOOKONGOKUMA,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
EASTERN,KONO,SOA,KOOKONGOKUMA,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
EASTERN,KONO,SOA,KOOKONGOKUMA,B. Primary,SIERRA LEONE MUSLIMBROTHERHOOD  
EASTERN,KONO,SOA,KOOKONGOKUMA,B. Primary,ROMAN CATHOLIC COMMUNITY PRIMARY SCHOOL
EASTERN,KONO,SOA,KOOKONGOKUMA,A. Pre- Primary,GOSPEL  HARMONY PRE-PRIMARY SCHOOL  
EASTERN,KONO,SOA,KOOKONGOKUMA,C. Junior Secondary,GOSPEL HARMONY AGRICULTURAL VOCATIONAL JUNIOR SECONDARY SCHOOL
EASTERN,KONO,SOA,KOOKONGOKUMA,B. Primary,ROMAN CATHOLIC PRIMARY SCHOOL
EASTERN,KONO,SOA,KOOKONGOKUMA,C. Junior Secondary,SAINT EDWARD'S JUNIOR  SECONDARY SCHOOL  
EASTERN,KONO,SOA,KOOKONGOKUMA,B. Primary,GOSPEL HARMONY PRIMARY SCHOOL  
EASTERN,KONO,SOA,KOOKONGOKUMA,B. Primary,ROMAN CATHOLIC PRIMARY SCHOOL
EASTERN,KONO,SOA,KOOKONGOKUMA,B. Primary,SIERRA LEONE MUSLIM BROTHERHOOD PRIMARY SCHOOL
EASTERN,KONO,SOA,KOOKONGOKUMA,B. Primary,METHODIST PRIMARY PENDUMA  
EASTERN,KONO,SOA,KOOKONGOKUMA,B. Primary,UNITED METHODIST CHURCH PRIMARY SCHOOL
EASTERN,KONO,SOA,KOOKONGOKUMA,B. Primary,UNITED METHODIST CHURCH PRIMARY SCHOOL
EASTERN,KONO,SOA,KOOKONGOKUMA,B. Primary,ROMAN CATHOLIC COMMUNITY PRIMARY SCHOOL
EASTERN,KONO,SOA,KOOKONGOKUMA,B. Primary,ROMAN CATHOLIC PRIMARY SCHOOL
EASTERN,KONO,SOA,KOOKONGOKUMA,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
EASTERN,KONO,SOA,KOOKONGOKUMA,B. Primary,METHODIST COMMUNITY PRIMARY SCHOOL WONDAY  
EASTERN,KONO,SOA,MAINDU,B. Primary,UNITED METHODIST CHURCH PRIMARY SCHOOL
EASTERN,KONO,SOA,MAINDU,B. Primary,SEANT MARTIN DE PAUL PRIMARY SCHOOL  
EASTERN,KONO,SOA,MOFINKOR,B. Primary,KANKALY ISLAMIC PRIMARY SCHOOL  
EASTERN,KONO,SOA,MOFINKOR,B. Primary,ROMAN CATHOLIC PRIMARY SCHOOL
EASTERN,KONO,SOA,MOFINKOR,B. Primary,KOYIMA PREPARATORY SCHOOL  
EASTERN,KONO,SOA,MOFINKOR,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
EASTERN,KONO,SOA,MOFINKOR,B. Primary,GREAT GOSPEL HARMONY PRIMARY SCHOOL  
EASTERN,KONO,SOA,MONGOR,B. Primary,ROMAN CATHOLIC PRIMARY SCHOOL
EASTERN,KONO,SOA,MONGOR,B. Primary,ROMAN CATHOLIC PRIMARY SCHOOL
EASTERN,KONO,SOA,SAWA BULMA,B. Primary,DEYOH COMMUNITY PRIMARY  
EASTERN,KONO,SOA,SAWA BUMA,B. Primary,ROMAN CATHOLIC PRIMARY SCHOOL
EASTERN,KONO,SOA,SAWA BUMA,B. Primary,ROMAN CATHOLIC PRIMARY SCHOOL
EASTERN,KONO,SOA,SAWA BUMA,B. Primary,GOD IS OUR LIGHT PRIMARY SCHOOL PAIMA  
EASTERN,KONO,SOA,SAWA BUMA,B. Primary,KANKALAY ISLAMIC PRIMARY TOMBU KONO  
EASTERN,KONO,SOA,SAWA FIAMA,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
EASTERN,KONO,SOA,SAWA FIAMA,B. Primary,ROMAN CATHOLIC PRIMARY SCHOOL
EASTERN,KONO,SOA,SAWA FIAMA,B. Primary,KANKALAY ISLAMIC PRIMARY SCHOOL  
EASTERN,KONO,SOA,SAWA FIAMA,B. Primary,LANZ CONWAY COMMUNITY PRIMARY SCHOOL  
EASTERN,KONO,SOA,SAWA FIAMA,B. Primary,LUTHERN PRIMARY SCHOOL  
EASTERN,KONO,SOA,SAWA FIAMA,B. Primary,KANKAYLAY ISLAMIC PRIMARY SCHOOL  
EASTERN,KONO,SOA,SAWA FIAMA,B. Primary,ROMAN CATHOLIC PRIMARY SCHOOL
EASTERN,KONO,SOA,SAWA FIAMA,B. Primary,METHODIS PRIMARY SCHOOL  
EASTERN,KONO,SOA,TENSAKOR,B. Primary,ROMAN CATHOLIC PRIMARY SCHOOL
EASTERN,KONO,SOA,TENSAKOR,B. Primary,ROMAN CATHOLIC PRIMARY SCHOOL
EASTERN,KONO,SOA,TENSEDAKOR,B. Primary,ROMAN CATHOLIC PRIMARY SCHOOL
EASTERN,KONO,TANKORO,NJAMA,C. Junior Secondary,SAINT PAUL'S JUNIOR SECONDARY SCHOOL  
EASTERN,KONO,TANKORO,NJAMA,B. Primary,SEVENTH DAY ADVENTIST PRIMARY SCHOOL
EASTERN,KONO,TANKORO,NJAMA,B. Primary,ROMAN CATHOLIC PRIMARY SCHOOL
EASTERN,KONO,TANKORO,NJAMA,B. Primary,SEVENTH DAY ADVENTIST PRIMARY SCHOOL
EASTERN,KONO,TANKORO,TANKORO,A. Pre- Primary,TEMPLE OF FAITH IN CHRIST PRE-SCHOOL  
EASTERN,KONO,TANKORO,TANKORO,B. Primary,TEMPLE OF FAITH IN CHRIST PRIMARY SCHOOL  
EASTERN,KONO,TANKORO,TANKORO,B. Primary,BUNGALOW COMMUNITY PRIMARY SCHOOL  
EASTERN,KONO,TANKORO,TANKORO,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
EASTERN,KONO,TANKORO,TANKORO,A. Pre- Primary,AHKOM PRE-SCHOOL  
EASTERN,KONO,TANKORO,TANKORO,B. Primary,AHKOM PRIVATE SCHOOL  
EASTERN,KONO,TANKORO,TANKORO,B. Primary,CHILDREN'S INTERNATIONAL ACADEMY  
EASTERN,KONO,TANKORO,TANKORO,C. Junior Secondary,KIM MEMORIAL AGRICULTURAL ACADEMY JUNIOR SEC.SCH  
EASTERN,KONO,TANKORO,TANKORO,A. Pre- Primary,KIM MEMORIAL AGRICULTURAL ACADEMY PRE-PRIMARY SCHOOL  
EASTERN,KONO,TANKORO,TANKORO,B. Primary,KIM MEMORIAL AGRICULTURAL ACADEMY PRIMARY SCHOOL  
EASTERN,KONO,TANKORO,TANKORO,A. Pre- Primary,GOD IS OUR LIGHT HEALING  PRE-PRIMARY SCHOOL  
EASTERN,KONO,TANKORO,TANKORO,A. Pre- Primary,GRACE CHAPEL PENTECOSTAL ACADEMY PRESCHOOL  
EASTERN,KONO,TANKORO,TANKORO,A. Pre- Primary,UNITED METHODIST CHURCH PRE-PRIMARY SCHOOL
EASTERN,KONO,TANKORO,TANKORO,B. Primary,GRACE CHAPEL PENTECOSTAL ACADEMY  
EASTERN,KONO,TANKORO,TANKORO,A. Pre- Primary,K D E C  PRE-SCHOOL  
EASTERN,KONO,TANKORO,TANKORO,B. Primary,ROMAN CATHOLIC PRIMARY SCHOOL
EASTERN,KONO,TANKORO,TANKORO,B. Primary,WORLD OF EDUCATION PRIMARY SCHOOL  
EASTERN,KONO,TANKORO,TANKORO,C. Junior Secondary,DR SAHR JAMES TONGU MEMORIAL ACADEMY  
EASTERN,KONO,TANKORO,TANKORO,D. Senior Secondary,DR SAHR JAMES TONGU MEMORIAL ACADEMY  SENIOR SEC.SCH  
EASTERN,KONO,TANKORO,TANKORO,C. Junior Secondary,NEW GENERATION JUNIOR SECONDARY SCHOOL  
EASTERN,KONO,TANKORO,TANKORO,B. Primary,EVANGELICAL MODEL PRIIMARY SCHOOL
EASTERN,KONO,TANKORO,TANKORO,B. Primary,AHMADIYYA MUSLIM PRIMARY SCHOOL
EASTERN,KONO,TANKORO,TANKORO,B. Primary,WORLD OF EDUCATION PRIMARY SCHOOL  
EASTERN,KONO,TANKORO,TANKORO,A. Pre- Primary,BENEVOLENT PRE-SCHOOL  
EASTERN,KONO,TANKORO,TANKORO,B. Primary,BENEVOLENT PRIMARY SCHOOL  
EASTERN,KONO,TANKORO,WOAFEH,B. Primary,SHALOM  
EASTERN,KONO,TANKORO,WOAFEH,C. Junior Secondary,SHALOM ACADEMY JUNIOR SECONDARY SCHOOL  
EASTERN,KONO,TANKORO,WOAFEH,A. Pre- Primary,SHALOM ACADEMY PREPRIMARY  
EASTERN,KONO,TANKORO,WOAFEH,B. Primary,GO PRIMARY  SCHOOL  
EASTERN,KONO,TANKORO,WOAFEH,D. Senior Secondary,KONO MODEL  SENIOR  SECONDARY SCHOOL  
EASTERN,KONO,TANKORO,WOAFEH,B. Primary,SIRAJU DEEN ISLAMIC PRIMARY SCHOOL  
EASTERN,KONO,TANKORO,WOAFEH,D. Senior Secondary,ANSARAUL DAWA ISLAMIC SENIOR SECONDARY SCHOOL
EASTERN,KONO,TANKORO,WOAFEH,A. Pre- Primary,SIRAJU DEEN  PRE-PRIMARY  SCHOOL  
EASTERN,KONO,TANKORO,WOAFEH,B. Primary,WARTMANN PRIMARY SCHOOL  
EASTERN,KONO,TANKORO,WOAFEH,A. Pre- Primary,AMIESON PRE-PRIMARY SCHOOL  
EASTERN,KONO,TANKORO,WOAFEH,A. Pre- Primary,BETH KONOLD PRE SCHOOL  
EASTERN,KONO,TANKORO,WOAFEH,A. Pre- Primary,HOPE CHRISTIAN ACADEMY  
EASTERN,KONO,TANKORO,WOAFEH,A. Pre- Primary,OXFORD PRE-PRIMARY SCHOOL  
EASTERN,KONO,TANKORO,WOAFEH,B. Primary,OXFORD PRIMARY SCHOOL  
EASTERN,KONO,TANKORO,WOAFEH,B. Primary,HOPE CHRISTIAN ACADEMY INTERNATIONAL  
EASTERN,KONO,TANKORO,WOAFEH,C. Junior Secondary,ISLIMIC CALL SOCIETY JUNIOR SECONDARY SCHOOL
EASTERN,KONO,TANKORO,WOAFEH,A. Pre- Primary,LEAGUE OF CHRISTIAN MISSION PRE-SCHOOL  
EASTERN,KONO,TANKORO,WOAFEH,A. Pre- Primary,ROYAL VISIONEERS ACADEMY  
EASTERN,KONO,TANKORO,WOAFEH,B. Primary,ROYAL VISIONEERS ACADEMY  
EASTERN,KONO,TANKORO,WOAFEH,B. Primary,YOUNG MUSLIM PRIMARY SCHOOL  
EASTERN,KONO,TANKORO,WOAFEH,B. Primary,SAINT AGATHA PRIMARY SCHOOL
EASTERN,KONO,TANKORO,WOAFEH,B. Primary,LEAGUE OF CHRISTIAN MISSION PRIMARY SCHOOL  
EASTERN,KONO,TANKORO,WOAFEH,B. Primary,NEW APOSTOLIC PRIMARY SCHOOL  
EASTERN,KONO,TANKORO,WOAFEH,A. Pre- Primary,DAWA ISLAMIC PRE -SCHOOL  
EASTERN,KONO,TANKORO,WOAFEH,B. Primary,KORYADU COMMUNITY PRIMARY SCHOOL  
EASTERN,KONO,TANKORO,WOAFEH,A. Pre- Primary,DISTRICT EDUCATION COMMITTEE PRE-PRIMARY SCHOOL
EASTERN,KONO,TANKORO,WOAFEH,D. Senior Secondary,MUNICIPAL SENIOR SEC.SCHOOL  
EASTERN,KONO,TANKORO,WOAFEH,B. Primary,SAINTANDREWS COMMUNITY PRIMARY SCHOOL  
EASTERN,KONO,TANKORO,WOAFEH,B. Primary,UNITED METHODIST CHURCH PRIMARY SCHOOL
EASTERN,KONO,TANKORO,WOAFEH,C. Junior Secondary,CLUNY FREE THE CHILDREN JUNIOR SECONDARY SCHOOL  
EASTERN,KONO,TANKORO,WOAFEH,D. Senior Secondary,CLUNY FREE THE CHILDREN SENIOR SECONDARY SCHOOL  
EASTERN,KONO,TANKORO,WOAFEH,A. Pre- Primary,HOLY GHOST ROYAL ACADEMY  PRE-SCHOOL
EASTERN,KONO,TANKORO,WOAFEH,C. Junior Secondary,SAINT AUGUSAINTINE JUNIOR SECONDARY SCHOOL  
EASTERN,KONO,TANKORO,WOAFEH,B. Primary,HOLY GHOST ROYAL ACADEMY  
EASTERN,KONO,TANKORO,WOAFEH,B. Primary,ROMAN CATHOLIC PRIMARY SCHOOL
EASTERN,KONO,TOLI,BAWADU,B. Primary,COMMUNITY PRIMARY SCHOOL
EASTERN,KONO,TOLI,BAWADU,B. Primary,COMMUNITY PRIMARY SCHOOL
EASTERN,KONO,TOLI,BAWADU,B. Primary,COMMUNITY PRIMARY SCHOOL
EASTERN,KONO,TOLI,KOMADU,B. Primary,ROMAN CATHOLIC PRIMARY SCHOOL
EASTERN,KONO,TOLI,KOMADU,B. Primary,ROMAN CATHOLIC PRIMARY SCHOOL
EASTERN,KONO,TOLI,QUIDU,B. Primary,ROMAN CATHOLIC PRIMARY SCHOOL
NORTH WESTERN,KAMBIA,BRAMAIA,FILIKHUNYI,B. Primary,OMAR MOKTAR ISLAMIC PRIMARY SCHOOL  
NORTH WESTERN,KAMBIA,BRAMAIA,FORTUNBUJIE,B. Primary,OMAR MOKTAR ISLAMIC PRIMARY SCHOOL  
NORTH WESTERN,KAMBIA,BRAMAIA,FORTUNBUJIE,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
NORTH WESTERN,KAMBIA,BRAMAIA,FORTUNBUJIE,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
NORTH WESTERN,KAMBIA,BRAMAIA,KAMBIA,B. Primary,OMAR MOKTAR ISLAMIC PRIMARY SCHOOL  
NORTH WESTERN,KAMBIA,BRAMAIA,KAMBIA,A. Pre- Primary,DISTRICT EDUCATION COMMITTEE PRE-PRIMARY SCHOOL
NORTH WESTERN,KAMBIA,BRAMAIA,KAMBIA,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
NORTH WESTERN,KAMBIA,BRAMAIA,KAMBIA,B. Primary,ROMAN CATHOLIC PRIMARY SCHOOL
NORTH WESTERN,KAMBIA,BRAMAIA,KAMBIA,B. Primary,ROMAN CATHOLIC PRIMARY SCHOOL
NORTH WESTERN,KAMBIA,BRAMAIA,KAMBIA,A. Pre- Primary,ROMAN CATHOLIC PRE-PRIMARY SCHOOL
NORTH WESTERN,KAMBIA,BRAMAIA,KAMBIA,B. Primary,TAWFIQUE ISLAMIC PRIMARY SCHOOL  
NORTH WESTERN,KAMBIA,BRAMAIA,KAMBIA,B. Primary,SAINT VICTOR ROMAN CATHOLIC PRIMARY SCHOOL
NORTH WESTERN,KAMBIA,BRAMAIA,KAMBIA,B. Primary,OMAR MOKTAR ISLAMIC PRIMARY SCHOOL  
NORTH WESTERN,KAMBIA,BRAMAIA,KAMBIA,B. Primary,AHMADIYYA MUSLIM PRIMARY SCHOOL
NORTH WESTERN,KAMBIA,BRAMAIA,KAMBIA,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
NORTH WESTERN,KAMBIA,BRAMAIA,KOBOTO,B. Primary,SAINT ANN PRIMARY SCHOOL  
NORTH WESTERN,KAMBIA,BRAMAIA,KUKUNA,C. Junior Secondary,ALFRUKHANIYA ISLAMIC JUNIOR SECONDARY SCHOOL  
NORTH WESTERN,KAMBIA,BRAMAIA,KUKUNA,A. Pre- Primary,DISTRICT EDUCATION COMMITTEE PRE-PRIMARY SCHOOL
NORTH WESTERN,KAMBIA,BRAMAIA,KUKUNA,C. Junior Secondary,OMAR MOKHTAR ISLAMIC JUNIOR SECONDARY SCHOOL  
NORTH WESTERN,KAMBIA,BRAMAIA,KUKUNA,C. Junior Secondary,SAINT MARY JUNIOR SECONDARY SCHOOL  
NORTH WESTERN,KAMBIA,BRAMAIA,KUKUNA,D. Senior Secondary,SAINT MARY SENIOR SECONDARY SCHOOL  
NORTH WESTERN,KAMBIA,BRAMAIA,KUKUNA,B. Primary,"TAWFOQUE PRIMARY SCHOOL, KUKUNA  "
NORTH WESTERN,KAMBIA,BRAMAIA,KUKUNA,B. Primary,OMAR MOKATAR PRIMARY SCHOOL  
NORTH WESTERN,KAMBIA,BRAMAIA,KUKUNA,B. Primary,SAINT MARY ROMAN CATHOLIC PRIMARY  SCHOOL
NORTH WESTERN,KAMBIA,BRAMAIA,KUKUNA,B. Primary,WESLEYAN CHURCH OF SIERRA LEONE  PRIMARY SCHOOL
NORTH WESTERN,KAMBIA,BRAMAIA,KUKUNA,B. Primary,ALFURKHANIA ISLAMIC PRIMARY SCHOOL  
NORTH WESTERN,KAMBIA,BRAMAIA,KUKUNA,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
NORTH WESTERN,KAMBIA,BRAMAIA,NBADIA,B. Primary,WESLEYAN CHURCH OF SIERRA LEONE  PRIMARY SCHOOL
NORTH WESTERN,KAMBIA,BRAMAIA,TENEBA BRAMAIA,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
NORTH WESTERN,KAMBIA,DIXON,KALANGBA,B. Primary,AHMADIYYA MUSLIM PRIMARY SCHOOL
NORTH WESTERN,KAMBIA,DIXON,KALANGBA,B. Primary,AHMADIYYA MUSLIM PRIMARY SCHOOL
NORTH WESTERN,KAMBIA,DIXON,MAFARAY,C. Junior Secondary,BARACK OBAMA  
NORTH WESTERN,KAMBIA,DIXON,MAFARAY,B. Primary,ROMAN CATHOLIC PRIMARY SCHOOL
NORTH WESTERN,KAMBIA,DIXON,MAFARAY,B. Primary,AHMADIYYA MUSLIM PRIMARY SCHOOL
NORTH WESTERN,KAMBIA,DIXON,MATON,B. Primary,ROMAN CATHOLIC PRIMARY SCHOOL
NORTH WESTERN,KAMBIA,DIXON,MATON,B. Primary,ANSARUL ISLAMIC PRIMARY SCHOOL  
NORTH WESTERN,KAMBIA,GBINLE,GBINLE,C. Junior Secondary,DARES-SALAM COMMUNITY SECONDARY SCHOOL  
NORTH WESTERN,KAMBIA,GBINLE,GBINLE,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
NORTH WESTERN,KAMBIA,GBINLE,GBINLEH,A. Pre- Primary,DISTRICT EDUCATION COMMITTEE PRE-PRIMARY SCHOOL
NORTH WESTERN,KAMBIA,GBINLE,KATALAN,B. Primary,COMMUNITY PRIMARY SCHOOL
NORTH WESTERN,KAMBIA,GBINLE,KATALAN,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
NORTH WESTERN,KAMBIA,GBINLE,ROGBERAY,A. Pre- Primary,ROMAN CATHOLIC PRE-PRIMARY SCHOOL
NORTH WESTERN,KAMBIA,GBINLE,ROGBERAY,B. Primary,ROMAN CATHOLIC PRIMARY SCHOOL
NORTH WESTERN,KAMBIA,GBINLE,ROGBERAY,B. Primary,ANSARUL COMMUNITY PRIMARY  
NORTH WESTERN,KAMBIA,GBINLE,ROGBERAY,A. Pre- Primary,DISTRICT EDUCATION COMMITTEE PRE-PRIMARY SCHOOL
NORTH WESTERN,KAMBIA,GBINLE,ROGBERAY,A. Pre- Primary,DISTRICT EDUCATION COMMITTEE PRE-PRIMARY SCHOOL
NORTH WESTERN,KAMBIA,GBINLE,ROGBERAY,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
NORTH WESTERN,KAMBIA,GBINLE,SANDA,B. Primary,AHMADIYYA MUSLIM PRIMARY SCHOOL
NORTH WESTERN,KAMBIA,GBINLE,SANDA,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
NORTH WESTERN,KAMBIA,GBINLE,SANDA,B. Primary,ANSARUL PRIMARY SCHOOL  
NORTH WESTERN,KAMBIA,GBINLE,SANDA,B. Primary,COMMUNITY PRIMARY SCHOOL
NORTH WESTERN,KAMBIA,GBINLE,TAWUYA,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
NORTH WESTERN,KAMBIA,GBINLE,TAWUYA,B. Primary,COMMUNITY PRIMARY SCHOOL
NORTH WESTERN,KAMBIA,GBINLE,TAWUYA,A. Pre- Primary,DISTRICT EDUCATION COMMITTEE PRE-PRIMARY SCHOOL
NORTH WESTERN,KAMBIA,GBINLE,TAWUYA,C. Junior Secondary,TAWUYA ACADEMY JUNIOR SECONDARY SCHOOL  
NORTH WESTERN,KAMBIA,GBINLE,TAWUYA,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
NORTH WESTERN,KAMBIA,KHONIMAKA,DURAMANIYA,B. Primary,OMAR MOKHTARR ISLAMIC PRIMARY SCHOOL  
NORTH WESTERN,KAMBIA,KHONIMAKA,GBERAKHURAY,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
NORTH WESTERN,KAMBIA,KHONIMAKA,GBERAKHURAY,B. Primary,SIERRA LEONE MUSLIM BROTHERHOOD PRIMARY SCHOOL
NORTH WESTERN,KAMBIA,KHONIMAKA,GBERAKHURAY,B. Primary,OMAR MOKTAR ISLAMIC PRIMARY SCHOOL  
NORTH WESTERN,KAMBIA,KHONIMAKA,GBEREKHURAY,B. Primary,OMAR MOKTAR ISLAMIC PRIMARY SCHOOL  
NORTH WESTERN,KAMBIA,KHONIMAKA,GBREKHURAY,B. Primary,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL
NORTH WESTERN,KAMBIA,KHONIMAKA,KABAYA,B. Primary,ANSARUL ISLAMIC PRIMARY SCHOOL  FANYEA
NORTH WESTERN,KAMBIA,KHONIMAKA,KABAYA,B. Primary,OMAR MOKTAR ISLAMIC PRIMARY SCHOOL  
